"name","registered","times_kicked","geolocation","nb_player_kills","nb_mob_kills","nb_deaths","avg_ping","nb_sessions","longest_session","avg_session","active_playtime","afk_time","favorite_world"
"Choukekette","1730750352293","4","France","15","114","79","74.46496106785317","70","13220693","2137517.0000","139549888","10076302","S22 - Prehistoric Canyon"
"yami_chann_","1730923022978","6","France","55","77","255","34.512445095168374","71","16687986","2593886.8592","156919856","27246111","LKS_Bancal_S13"
"Pyranos45","1731009604164","1","France","0","0","0",NULL,"27","10646307","1181923.4074","28917983","2993949","S22 - Prehistoric Canyon"
"Cakawouaitte","1731355563453","0","Belgium","0","0","0",NULL,"6","1620975","382241.8333","1905794","387657","S19 - Alunnius"
"DindeSauvage393","1731592437881","0","France","0","0","4",NULL,"1","1333366","1333366.0000","1333366","0","LobbySurvisland"
"ygriffe","1731751423106","0","France","36","114","100","28.639118457300274","29","12897485","3323825.7241","86153387","10237559","S22 - Prehistoric Canyon"
"LouKa_","1731787881186","0","France","0","152","13","26.835660580021482","38","13060726","3259704.0000","118074968","5793784","S22 - Prehistoric Canyon"
"Erusel","1732037069372","0","France","0","0","0",NULL,"3","1432776","485857.3333","1457572","0","S19 - Alunnius"
"iStrikZzz","1732125667230","0","France","0","0","0",NULL,"11","8375961","1700936.0000","18166437","543859","S22 - Prehistoric Canyon"
"Fan2Xiao","1732390283911","14","France","12","0","28","420.52252252252254","94","12746492","1086652.8723","98772493","3372877","S17 - Parrot's Kingdom"
"Antho86","1732480558985","0","France","2","0","3",NULL,"7","1505023","452146.0000","2943011","222011","S19 - Alunnius"
"Kyrutoo","1595616513983","0","Belgium","0","7","31","25.98148148148148","27","10234787","2380321.2593","54264355","10004319","S22 - Prehistoric Canyon"
"Rth10","1732986310460","2","France","2","161","117","24.18645948945616","45","13031996","2728851.4444","111673437","11124878","S22 - Prehistoric Canyon"
"NV__","1733514886700","5",NULL,"0","53","1","46.509803921568626","5","2837472","1303862.8000","6519314","0","RDM_Fate2412"
"KikoroSuper","1733514893338","2",NULL,"0","9","1","34.705882352941174","4","3541458","1242809.5000","4971238","0","RDM_Fate2412"
"Meriator","1733515045754","4",NULL,"2","44","4","29.576923076923077","4","3080841","1651435.0000","6183648","422092","RDM_Fate2412"
"ZermaGx","1733515048793","2",NULL,"1","27","4","36.41836734693877","2","3099194","2372831.0000","4745662","0","RDM_Fate2412"
"PikIronMan","1733515080100","7","France","0","43","1","57.22429906542056","7","3506602","999755.8571","6998291","0","RDM_Fate2412"
"Alezys_","1733515215533","3",NULL,"8","41","4","35.666666666666664","5","3345831","1096074.2000","5480371","0","RDM_Fate2412"
"Dragofafmir","1733579541460","1","Switzerland","10","3","32",NULL,"10","5268488","936550.8000","9029724","335784","Switch_switch_game"
"_Taupe_","1733579651908","0","France","24","9","19",NULL,"10","8553318","926644.4000","9266444","0","Switch_switch_game"
"Insecte_","1733579952292","0","France","13","0","29",NULL,"7","8113631","1253356.7143","8407745","365752","Switch_switch_game"
"Lankdower","1733579957870","0","France","30","6","26",NULL,"7","8616126","1298233.5714","9087635","0","Switch_switch_game"
"cliele","1733580051092","0","France","7","6","24",NULL,"8","8523196","1130772.5000","9046180","0","Switch_switch_game"
"Nitorep","1733580220494","0","France","26","12","28",NULL,"4","8354433","2142231.0000","8568924","0","Switch_switch_game"
"NaNi___","1733580383793","1","France","8","1","18",NULL,"13","6084292","664916.2308","8338037","305874","Switch_switch_game"
"KnightSanto","1733580817918","0","United Kingdom","0","2","7",NULL,"1","2736285","2736285.0000","2736285","0","Switch_switch_game"
